Block數量,1000
Thread數量,10
預期模擬次數,100000000
實際模擬次數,99779756
執行時間(ms),2657
元素個數,26
轉盤個數,3
排列組合總數,17576
N-K-J,5655,0.00566748%
N-K-K,5773,0.00578574%
N-K-L,5728,0.00574064%
N-K-M,5661,0.0056735%
N-K-N,5745,0.00575768%
N-K-O,5565,0.00557728%
N-K-P,5614,0.00562639%
N-K-Q,5663,0.0056755%
N-K-R,5682,0.00569454%
N-K-S,5773,0.00578574%
N-K-T,5703,0.00571559%
N-K-U,5665,0.0056775%
N-K-V,5755,0.0057677%
N-K-W,5721,0.00573363%
N-K-X,5674,0.00568652%
N-K-Y,5676,0.00568853%
N-K-Z,5685,0.00569755%
N-L-A,5708,0.0057206%
N-L-B,5711,0.00572361%
N-L-C,5617,0.0056294%
N-L-D,5700,0.00571258%
N-L-E,5758,0.00577071%
N-L-F,5711,0.00572361%
N-L-G,5567,0.00557929%
N-L-H,5776,0.00578875%
N-L-I,5642,0.00565445%
N-L-J,5622,0.00563441%
N-L-K,5645,0.00565746%
N-L-L,5688,0.00570056%
N-L-M,5604,0.00561637%
N-L-N,5609,0.00562138%
N-L-O,5844,0.0058569%
N-L-P,5630,0.00564243%
N-L-Q,5635,0.00564744%
N-L-R,5635,0.00564744%
N-L-S,5652,0.00566448%
N-L-T,5755,0.0057677%
N-L-U,5620,0.00563241%
N-L-V,5667,0.00567951%
N-L-W,5603,0.00561537%
N-L-X,5594,0.00560635%
N-L-Y,5665,0.0056775%
N-L-Z,5750,0.00576269%
N-M-A,5719,0.00573162%
N-M-B,5814,0.00582683%
N-M-C,5678,0.00569053%
N-M-D,5655,0.00566748%
N-M-E,5758,0.00577071%
N-M-F,5620,0.00563241%
N-M-G,5779,0.00579176%
N-M-H,5637,0.00564944%
N-M-I,5622,0.00563441%
N-M-J,5531,0.00554321%
N-M-K,5742,0.00575467%
N-M-L,5600,0.00561236%
N-M-M,5577,0.00558931%
N-M-N,5632,0.00564443%
N-M-O,5623,0.00563541%
N-M-P,5678,0.00569053%
N-M-Q,5569,0.00558129%
N-M-R,5759,0.00577171%
N-M-S,5577,0.00558931%
N-M-T,5651,0.00566347%
N-M-U,5661,0.0056735%
N-M-V,5770,0.00578274%
N-M-W,5886,0.00589899%
N-M-X,5712,0.00572461%
N-M-Y,5619,0.0056314%
N-M-Z,5698,0.00571058%
N-N-A,5529,0.0055412%
N-N-B,5763,0.00577572%
N-N-C,5723,0.00573563%
N-N-D,5652,0.00566448%
N-N-E,5773,0.00578574%
N-N-F,5718,0.00573062%
N-N-G,5611,0.00562339%
N-N-H,5686,0.00569855%
N-N-I,5621,0.00563341%
N-N-J,5690,0.00570256%
N-N-K,5615,0.00562739%
N-N-L,5711,0.00572361%
N-N-M,5719,0.00573162%
N-N-N,5673,0.00568552%
N-N-O,5720,0.00573263%
N-N-P,5568,0.00558029%
N-N-Q,5721,0.00573363%
N-N-R,5622,0.00563441%
N-N-S,5669,0.00568151%
N-N-T,5589,0.00560134%
N-N-U,5709,0.0057216%
N-N-V,5664,0.0056765%
N-N-W,5655,0.00566748%
N-N-X,5682,0.00569454%
N-N-Y,5726,0.00573864%
N-N-Z,5508,0.00552016%
N-O-A,5678,0.00569053%
N-O-B,5735,0.00574766%
N-O-C,5546,0.00555824%
N-O-D,5759,0.00577171%
N-O-E,5643,0.00565546%
N-O-F,5553,0.00556526%
N-O-G,5718,0.00573062%
N-O-H,5743,0.00575568%
N-O-I,5547,0.00555924%
N-O-J,5697,0.00570957%
N-O-K,5607,0.00561938%
N-O-L,5680,0.00569254%
N-O-M,5552,0.00556425%
N-O-N,5702,0.00571459%
N-O-O,5592,0.00560434%
N-O-P,5749,0.00576169%
N-O-Q,5744,0.00575668%
N-O-R,5627,0.00563942%
N-O-S,5634,0.00564644%
N-O-T,5705,0.00571759%
N-O-U,5714,0.00572661%
N-O-V,5650,0.00566247%
N-O-W,5864,0.00587694%
N-O-X,5577,0.00558931%
N-O-Y,5615,0.00562739%
N-O-Z,5821,0.00583385%
N-P-A,5675,0.00568753%
N-P-B,5685,0.00569755%
N-P-C,5702,0.00571459%
N-P-D,5745,0.00575768%
N-P-E,5596,0.00560835%
N-P-F,5739,0.00575167%
N-P-G,5710,0.0057226%
N-P-H,5648,0.00566047%
N-P-I,5577,0.00558931%
N-P-J,5697,0.00570957%
N-P-K,5685,0.00569755%
N-P-L,5635,0.00564744%
N-P-M,5641,0.00565345%
N-P-N,5700,0.00571258%
N-P-O,5664,0.0056765%
N-P-P,5682,0.00569454%
N-P-Q,5652,0.00566448%
N-P-R,5537,0.00554922%
N-P-S,5595,0.00560735%
N-P-T,5570,0.00558229%
N-P-U,5643,0.00565546%
N-P-V,5694,0.00570657%
N-P-W,5788,0.00580078%
N-P-X,5636,0.00564844%
N-P-Y,5566,0.00557829%
N-P-Z,5607,0.00561938%
N-Q-A,5652,0.00566448%
N-Q-B,5736,0.00574866%
N-Q-C,5645,0.00565746%
N-Q-D,5683,0.00569554%
N-Q-E,5862,0.00587494%
N-Q-F,5641,0.00565345%
N-Q-G,5657,0.00566949%
N-Q-H,5617,0.0056294%
N-Q-I,5722,0.00573463%
N-Q-J,5700,0.00571258%
N-Q-K,5681,0.00569354%
N-Q-L,5771,0.00578374%
N-Q-M,5622,0.00563441%
N-Q-N,5762,0.00577472%
N-Q-O,5573,0.0055853%
N-Q-P,5616,0.0056284%
N-Q-Q,5631,0.00564343%
N-Q-R,5652,0.00566448%
N-Q-S,5607,0.00561938%
N-Q-T,5771,0.00578374%
N-Q-U,5764,0.00577672%
N-Q-V,5670,0.00568252%
N-Q-W,5746,0.00575868%
N-Q-X,5592,0.00560434%
N-Q-Y,5704,0.00571659%
N-Q-Z,5703,0.00571559%
N-R-A,5738,0.00575067%
N-R-B,5619,0.0056314%
N-R-C,5627,0.00563942%
N-R-D,5592,0.00560434%
N-R-E,5699,0.00571158%
N-R-F,5708,0.0057206%
N-R-G,5692,0.00570456%
N-R-H,5627,0.00563942%
N-R-I,5699,0.00571158%
N-R-J,5700,0.00571258%
N-R-K,5749,0.00576169%
N-R-L,5714,0.00572661%
N-R-M,5618,0.0056304%
N-R-N,5638,0.00565044%
N-R-O,5691,0.00570356%
N-R-P,5713,0.00572561%
N-R-Q,5691,0.00570356%
N-R-R,5755,0.0057677%
N-R-S,5558,0.00557027%
N-R-T,5610,0.00562238%
N-R-U,5687,0.00569955%
N-R-V,5752,0.0057647%
N-R-W,5621,0.00563341%
N-R-X,5682,0.00569454%
N-R-Y,5754,0.0057667%
N-R-Z,5515,0.00552717%
N-S-A,5709,0.0057216%
N-S-B,5720,0.00573263%
N-S-C,5563,0.00557528%
N-S-D,5586,0.00559833%
N-S-E,5630,0.00564243%
N-S-F,5662,0.0056745%
N-S-G,5593,0.00560535%
N-S-H,5713,0.00572561%
N-S-I,5664,0.0056765%
N-S-J,5671,0.00568352%
N-S-K,5639,0.00565145%
N-S-L,5717,0.00572962%
N-S-M,5813,0.00582583%
N-S-N,5667,0.00567951%
N-S-O,5666,0.00567851%
N-S-P,5682,0.00569454%
N-S-Q,5580,0.00559232%
N-S-R,5692,0.00570456%
N-S-S,5836,0.00584888%
N-S-T,5665,0.0056775%
N-S-U,5639,0.00565145%
N-S-V,5716,0.00572862%
N-S-W,5544,0.00555624%
N-S-X,5598,0.00561036%
N-S-Y,5740,0.00575267%
N-S-Z,5778,0.00579075%
N-T-A,5711,0.00572361%
N-T-B,5672,0.00568452%
N-T-C,5665,0.0056775%
N-T-D,5735,0.00574766%
N-T-E,5691,0.00570356%
N-T-F,5710,0.0057226%
N-T-G,5660,0.00567249%
N-T-H,5641,0.00565345%
N-T-I,5736,0.00574866%
N-T-J,5684,0.00569655%
N-T-K,5593,0.00560535%
N-T-L,5611,0.00562339%
N-T-M,5747,0.00575969%
N-T-N,5771,0.00578374%
N-T-O,5587,0.00559933%
N-T-P,5643,0.00565546%
N-T-Q,5818,0.00583084%
N-T-R,5687,0.00569955%
N-T-S,5670,0.00568252%
N-T-T,5591,0.00560334%
N-T-U,5635,0.00564744%
N-T-V,5699,0.00571158%
N-T-W,5656,0.00566848%
N-T-X,5697,0.00570957%
N-T-Y,5662,0.0056745%
N-T-Z,5740,0.00575267%
N-U-A,5733,0.00574565%
N-U-B,5701,0.00571358%
N-U-C,5757,0.00576971%
N-U-D,5737,0.00574966%
N-U-E,5741,0.00575367%
N-U-F,5702,0.00571459%
N-U-G,5711,0.00572361%
N-U-H,5629,0.00564142%
N-U-I,5607,0.00561938%
N-U-J,5629,0.00564142%
N-U-K,5569,0.00558129%
N-U-L,5614,0.00562639%
N-U-M,5665,0.0056775%
N-U-N,5668,0.00568051%
N-U-O,5687,0.00569955%
N-U-P,5627,0.00563942%
N-U-Q,5601,0.00561336%
N-U-R,5742,0.00575467%
N-U-S,5581,0.00559332%
N-U-T,5624,0.00563641%
N-U-U,5807,0.00581982%
N-U-V,5778,0.00579075%
N-U-W,5725,0.00573764%
N-U-X,5684,0.00569655%
N-U-Y,5753,0.0057657%
N-U-Z,5611,0.00562339%
N-V-A,5811,0.00582383%
N-V-B,5673,0.00568552%
N-V-C,5561,0.00557327%
N-V-D,5745,0.00575768%
N-V-E,5630,0.00564243%
N-V-F,5689,0.00570156%
N-V-G,5732,0.00574465%
N-V-H,5791,0.00580378%
N-V-I,5595,0.00560735%
N-V-J,5838,0.00585089%
N-V-K,5604,0.00561637%
N-V-L,5666,0.00567851%
N-V-M,5776,0.00578875%
N-V-N,5697,0.00570957%
N-V-O,5586,0.00559833%
N-V-P,5714,0.00572661%
N-V-Q,5692,0.00570456%
N-V-R,5612,0.00562439%
N-V-S,5607,0.00561938%
N-V-T,5624,0.00563641%
N-V-U,5591,0.00560334%
N-V-V,5661,0.0056735%
N-V-W,5572,0.0055843%
N-V-X,5612,0.00562439%
N-V-Y,5589,0.00560134%
N-V-Z,5533,0.00554521%
N-W-A,5555,0.00556726%
N-W-B,5686,0.00569855%
N-W-C,5635,0.00564744%
N-W-D,5735,0.00574766%
N-W-E,5758,0.00577071%
N-W-F,5639,0.00565145%
N-W-G,5529,0.0055412%
N-W-H,5677,0.00568953%
N-W-I,5553,0.00556526%
N-W-J,5526,0.0055382%
N-W-K,5713,0.00572561%
N-W-L,5723,0.00573563%
N-W-M,5559,0.00557127%
N-W-N,5685,0.00569755%
N-W-O,5639,0.00565145%
N-W-P,5791,0.00580378%
N-W-Q,5632,0.00564443%
N-W-R,5661,0.0056735%
N-W-S,5706,0.00571859%
N-W-T,5669,0.00568151%
N-W-U,5672,0.00568452%
N-W-V,5572,0.0055843%
N-W-W,5626,0.00563842%
N-W-X,5627,0.00563942%
N-W-Y,5608,0.00562038%
N-W-Z,5600,0.00561236%
N-X-A,5631,0.00564343%
N-X-B,5857,0.00586993%
N-X-C,5604,0.00561637%
N-X-D,5706,0.00571859%
N-X-E,5669,0.00568151%
N-X-F,5763,0.00577572%
N-X-G,5614,0.00562639%
N-X-H,5601,0.00561336%
N-X-I,5579,0.00559131%
N-X-J,5703,0.00571559%
N-X-K,5530,0.00554221%
N-X-L,5707,0.0057196%
N-X-M,5663,0.0056755%
N-X-N,5667,0.00567951%
N-X-O,5619,0.0056314%
N-X-P,5696,0.00570857%
N-X-Q,5731,0.00574365%
N-X-R,5697,0.00570957%
N-X-S,5656,0.00566848%
N-X-T,5894,0.00590701%
N-X-U,5611,0.00562339%
N-X-V,5696,0.00570857%
N-X-W,5648,0.00566047%
N-X-X,5704,0.00571659%
N-X-Y,5569,0.00558129%
N-X-Z,5703,0.00571559%
N-Y-A,5644,0.00565646%
N-Y-B,5620,0.00563241%
N-Y-C,5613,0.00562539%
N-Y-D,5797,0.0058098%
N-Y-E,5601,0.00561336%
N-Y-F,5597,0.00560935%
N-Y-G,5744,0.00575668%
N-Y-H,5705,0.00571759%
N-Y-I,5514,0.00552617%
N-Y-J,5878,0.00589097%
N-Y-K,5660,0.00567249%
N-Y-L,5790,0.00580278%
N-Y-M,5813,0.00582583%
N-Y-N,5610,0.00562238%
N-Y-O,5639,0.00565145%
N-Y-P,5696,0.00570857%
N-Y-Q,5603,0.00561537%
N-Y-R,5726,0.00573864%
N-Y-S,5729,0.00574165%
N-Y-T,5602,0.00561437%
N-Y-U,5774,0.00578674%
N-Y-V,5616,0.0056284%
N-Y-W,5609,0.00562138%
N-Y-X,5677,0.00568953%
N-Y-Y,5697,0.00570957%
N-Y-Z,5721,0.00573363%
N-Z-A,5735,0.00574766%
N-Z-B,5827,0.00583986%
N-Z-C,5649,0.00566147%
N-Z-D,5672,0.00568452%
N-Z-E,5703,0.00571559%
N-Z-F,5800,0.0058128%
N-Z-G,5675,0.00568753%
N-Z-H,5597,0.00560935%
N-Z-I,5705,0.00571759%
N-Z-J,5849,0.00586191%
N-Z-K,5693,0.00570557%
N-Z-L,5685,0.00569755%
N-Z-M,5674,0.00568652%
N-Z-N,5663,0.0056755%
N-Z-O,5634,0.00564644%
N-Z-P,5777,0.00578975%
N-Z-Q,5638,0.00565044%
N-Z-R,5690,0.00570256%
N-Z-S,5754,0.0057667%
N-Z-T,5641,0.00565345%
N-Z-U,5693,0.00570557%
N-Z-V,5602,0.00561437%
N-Z-W,5631,0.00564343%
N-Z-X,5617,0.0056294%
N-Z-Y,5674,0.00568652%
N-Z-Z,5663,0.0056755%
O-A-A,5714,0.00572661%
O-A-B,5705,0.00571759%
O-A-C,5815,0.00582784%
O-A-D,5791,0.00580378%
O-A-E,5736,0.00574866%
O-A-F,5599,0.00561136%
O-A-G,5701,0.00571358%
O-A-H,5606,0.00561837%
O-A-I,5563,0.00557528%
O-A-J,5689,0.00570156%
O-A-K,5791,0.00580378%
O-A-L,5608,0.00562038%
O-A-M,5782,0.00579476%
O-A-N,5644,0.00565646%
O-A-O,5552,0.00556425%
O-A-P,5759,0.00577171%
O-A-Q,5715,0.00572761%
O-A-R,5685,0.00569755%
O-A-S,5613,0.00562539%
O-A-T,5688,0.00570056%
O-A-U,5701,0.00571358%
O-A-V,5589,0.00560134%
O-A-W,5800,0.0058128%
O-A-X,5598,0.00561036%
O-A-Y,5755,0.0057677%
O-A-Z,5688,0.00570056%
O-B-A,5669,0.00568151%
O-B-B,5640,0.00565245%
O-B-C,5786,0.00579877%
O-B-D,5671,0.00568352%
O-B-E,5692,0.00570456%
O-B-F,5505,0.00551715%
O-B-G,5610,0.00562238%
O-B-H,5812,0.00582483%
O-B-I,5878,0.00589097%
O-B-J,5705,0.00571759%
O-B-K,5667,0.00567951%
O-B-L,5710,0.0057226%
O-B-M,5740,0.00575267%
O-B-N,5715,0.00572761%
O-B-O,5593,0.00560535%
O-B-P,5729,0.00574165%
O-B-Q,5714,0.00572661%
O-B-R,5531,0.00554321%
O-B-S,5531,0.00554321%
O-B-T,5717,0.00572962%
O-B-U,5591,0.00560334%
O-B-V,5584,0.00559633%
O-B-W,5644,0.00565646%
O-B-X,5745,0.00575768%
O-B-Y,5611,0.00562339%
O-B-Z,5688,0.00570056%
O-C-A,5698,0.00571058%
O-C-B,5648,0.00566047%
O-C-C,5621,0.00563341%
O-C-D,5739,0.00575167%
O-C-E,5687,0.00569955%
O-C-F,5563,0.00557528%
O-C-G,5624,0.00563641%
O-C-H,5773,0.00578574%
O-C-I,5638,0.00565044%
O-C-J,5730,0.00574265%
O-C-K,5651,0.00566347%
O-C-L,5804,0.00581681%
O-C-M,5567,0.00557929%
O-C-N,5696,0.00570857%
O-C-O,5655,0.00566748%
O-C-P,5609,0.00562138%
O-C-Q,5615,0.00562739%
O-C-R,5568,0.00558029%
O-C-S,5664,0.0056765%
O-C-T,5695,0.00570757%
O-C-U,5681,0.00569354%
O-C-V,5733,0.00574565%
O-C-W,5733,0.00574565%
O-C-X,5648,0.00566047%
O-C-Y,5548,0.00556025%
O-C-Z,5613,0.00562539%
O-D-A,5699,0.00571158%
O-D-B,5747,0.00575969%
O-D-C,5704,0.00571659%
O-D-D,5526,0.0055382%
O-D-E,5692,0.00570456%
O-D-F,5758,0.00577071%
O-D-G,5749,0.00576169%
O-D-H,5623,0.00563541%
O-D-I,5671,0.00568352%
O-D-J,5558,0.00557027%
O-D-K,5721,0.00573363%
O-D-L,5652,0.00566448%
O-D-M,5573,0.0055853%
O-D-N,5736,0.00574866%
O-D-O,5730,0.00574265%
O-D-P,5639,0.00565145%
O-D-Q,5721,0.00573363%
O-D-R,5746,0.00575868%
O-D-S,5535,0.00554722%
O-D-T,5649,0.00566147%
O-D-U,5623,0.00563541%
O-D-V,5845,0.0058579%
O-D-W,5666,0.00567851%
O-D-X,5635,0.00564744%
O-D-Y,5612,0.00562439%
O-D-Z,5697,0.00570957%
O-E-A,5817,0.00582984%
O-E-B,5615,0.00562739%
O-E-C,5620,0.00563241%
O-E-D,5722,0.00573463%
O-E-E,5574,0.0055863%
O-E-F,5686,0.00569855%
O-E-G,5742,0.00575467%
O-E-H,5588,0.00560033%
O-E-I,5741,0.00575367%
O-E-J,5695,0.00570757%
O-E-K,5597,0.00560935%
O-E-L,5651,0.00566347%
O-E-M,5694,0.00570657%
O-E-N,5788,0.00580078%
O-E-O,5800,0.0058128%
O-E-P,5704,0.00571659%
O-E-Q,5798,0.0058108%
O-E-R,5618,0.0056304%
O-E-S,5676,0.00568853%
O-E-T,5784,0.00579677%
O-E-U,5667,0.00567951%
O-E-V,5808,0.00582082%
O-E-W,5696,0.00570857%
O-E-X,5746,0.00575868%
O-E-Y,5641,0.00565345%
O-E-Z,5711,0.00572361%
O-F-A,5691,0.00570356%
O-F-B,5696,0.00570857%
O-F-C,5757,0.00576971%
O-F-D,5627,0.00563942%
O-F-E,5785,0.00579777%
O-F-F,5758,0.00577071%
O-F-G,5624,0.00563641%
O-F-H,5661,0.0056735%
O-F-I,5683,0.00569554%
O-F-J,5719,0.00573162%
O-F-K,5602,0.00561437%
O-F-L,5669,0.00568151%
O-F-M,5808,0.00582082%
O-F-N,5825,0.00583786%
O-F-O,5536,0.00554822%
O-F-P,5721,0.00573363%
O-F-Q,5632,0.00564443%
O-F-R,5683,0.00569554%
O-F-S,5713,0.00572561%
O-F-T,5761,0.00577372%
O-F-U,5761,0.00577372%
O-F-V,5716,0.00572862%
O-F-W,5667,0.00567951%
O-F-X,5708,0.0057206%
O-F-Y,5614,0.00562639%
O-F-Z,5603,0.00561537%
O-G-A,5629,0.00564142%
O-G-B,5759,0.00577171%
O-G-C,5758,0.00577071%
O-G-D,5659,0.00567149%
O-G-E,5711,0.00572361%
O-G-F,5690,0.00570256%
O-G-G,5551,0.00556325%
O-G-H,5687,0.00569955%
O-G-I,5694,0.00570657%
O-G-J,5777,0.00578975%
O-G-K,5710,0.0057226%
O-G-L,5679,0.00569154%
O-G-M,5514,0.00552617%
O-G-N,5587,0.00559933%
O-G-O,5793,0.00580579%
O-G-P,5769,0.00578173%
O-G-Q,5610,0.00562238%
O-G-R,5659,0.00567149%
O-G-S,5675,0.00568753%
O-G-T,5602,0.00561437%
O-G-U,5572,0.0055843%
O-G-V,5674,0.00568652%
O-G-W,5624,0.00563641%
O-G-X,5633,0.00564543%
O-G-Y,5643,0.00565546%
O-G-Z,5601,0.00561336%
O-H-A,5789,0.00580178%
O-H-B,5634,0.00564644%
O-H-C,5679,0.00569154%
O-H-D,5644,0.00565646%
O-H-E,5700,0.00571258%
O-H-F,5564,0.00557628%
O-H-G,5599,0.00561136%
O-H-H,5727,0.00573964%
O-H-I,5656,0.00566848%
O-H-J,5603,0.00561537%
O-H-K,5546,0.00555824%
O-H-L,5661,0.0056735%
O-H-M,5687,0.00569955%
O-H-N,5624,0.00563641%
O-H-O,5748,0.00576069%
O-H-P,5741,0.00575367%
O-H-Q,5605,0.00561737%
O-H-R,5604,0.00561637%
O-H-S,5700,0.00571258%
O-H-T,5658,0.00567049%
O-H-U,5766,0.00577873%
O-H-V,5569,0.00558129%
O-H-W,5648,0.00566047%
O-H-X,5602,0.00561437%
O-H-Y,5589,0.00560134%
O-H-Z,5777,0.00578975%
O-I-A,5570,0.00558229%
O-I-B,5739,0.00575167%
O-I-C,5580,0.00559232%
O-I-D,5688,0.00570056%
O-I-E,5684,0.00569655%
O-I-F,5600,0.00561236%
O-I-G,5683,0.00569554%
O-I-H,5655,0.00566748%
O-I-I,5706,0.00571859%
O-I-J,5835,0.00584788%
O-I-K,5757,0.00576971%
O-I-L,5564,0.00557628%
O-I-M,5758,0.00577071%
O-I-N,5635,0.00564744%
O-I-O,5690,0.00570256%
O-I-P,5592,0.00560434%
O-I-Q,5692,0.00570456%
O-I-R,5684,0.00569655%
O-I-S,5699,0.00571158%
O-I-T,5734,0.00574666%
O-I-U,5763,0.00577572%
O-I-V,5774,0.00578674%
O-I-W,5657,0.00566949%
O-I-X,5647,0.00565946%
O-I-Y,5567,0.00557929%
O-I-Z,5646,0.00565846%
O-J-A,5688,0.00570056%
O-J-B,5833,0.00584588%
O-J-C,5674,0.00568652%
O-J-D,5676,0.00568853%
O-J-E,5820,0.00583285%
O-J-F,5593,0.00560535%
O-J-G,5703,0.00571559%
O-J-H,5657,0.00566949%
O-J-I,5698,0.00571058%
O-J-J,5758,0.00577071%
O-J-K,5680,0.00569254%
O-J-L,5641,0.00565345%
O-J-M,5731,0.00574365%
O-J-N,5571,0.0055833%
O-J-O,5689,0.00570156%
O-J-P,5523,0.00553519%
O-J-Q,5706,0.00571859%
O-J-R,5619,0.0056314%
O-J-S,5652,0.00566448%
O-J-T,5743,0.00575568%
O-J-U,5579,0.00559131%
O-J-V,5560,0.00557227%
O-J-W,5847,0.00585991%
O-J-X,5721,0.00573363%
O-J-Y,5728,0.00574064%
O-J-Z,5557,0.00556927%
O-K-A,5786,0.00579877%
O-K-B,5697,0.00570957%
O-K-C,5822,0.00583485%
O-K-D,5726,0.00573864%
O-K-E,5775,0.00578775%
O-K-F,5715,0.00572761%
O-K-G,5583,0.00559532%
O-K-H,5623,0.00563541%
O-K-I,5700,0.00571258%
O-K-J,5761,0.00577372%
O-K-K,5706,0.00571859%
O-K-L,5695,0.00570757%
O-K-M,5660,0.00567249%
O-K-N,5668,0.00568051%
O-K-O,5689,0.00570156%
O-K-P,5693,0.00570557%
O-K-Q,5676,0.00568853%
O-K-R,5662,0.0056745%
O-K-S,5655,0.00566748%
O-K-T,5717,0.00572962%
O-K-U,5645,0.00565746%
O-K-V,5649,0.00566147%
O-K-W,5688,0.00570056%
O-K-X,5519,0.00553118%
O-K-Y,5706,0.00571859%
O-K-Z,5629,0.00564142%
O-L-A,5658,0.00567049%
O-L-B,5663,0.0056755%
O-L-C,5604,0.00561637%
O-L-D,5571,0.0055833%
O-L-E,5629,0.00564142%
O-L-F,5598,0.00561036%
O-L-G,5741,0.00575367%
O-L-H,5582,0.00559432%
O-L-I,5574,0.0055863%
O-L-J,5740,0.00575267%
O-L-K,5677,0.00568953%
O-L-L,5659,0.00567149%
O-L-M,5750,0.00576269%
O-L-N,5857,0.00586993%
O-L-O,5728,0.00574064%
O-L-P,5809,0.00582182%
O-L-Q,5619,0.0056314%
O-L-R,5607,0.00561938%
O-L-S,5748,0.00576069%
O-L-T,5647,0.00565946%
O-L-U,5629,0.00564142%
O-L-V,5745,0.00575768%
O-L-W,5661,0.0056735%
O-L-X,5729,0.00574165%
O-L-Y,5696,0.00570857%
O-L-Z,5675,0.00568753%
O-M-A,5653,0.00566548%
O-M-B,5740,0.00575267%
O-M-C,5569,0.00558129%
O-M-D,5703,0.00571559%
O-M-E,5620,0.00563241%
O-M-F,5656,0.00566848%
O-M-G,5563,0.00557528%
O-M-H,5628,0.00564042%
O-M-I,5755,0.0057677%
O-M-J,5674,0.00568652%
O-M-K,5728,0.00574064%
O-M-L,5754,0.0057667%
O-M-M,5551,0.00556325%
O-M-N,5636,0.00564844%
O-M-O,5781,0.00579376%
O-M-P,5718,0.00573062%
O-M-Q,5692,0.00570456%
O-M-R,5741,0.00575367%
O-M-S,5623,0.00563541%
O-M-T,5715,0.00572761%
O-M-U,5662,0.0056745%
O-M-V,5673,0.00568552%
O-M-W,5750,0.00576269%
O-M-X,5667,0.00567951%
O-M-Y,5620,0.00563241%
O-M-Z,5558,0.00557027%
O-N-A,5714,0.00572661%
O-N-B,5654,0.00566648%
O-N-C,5723,0.00573563%
O-N-D,5588,0.00560033%
O-N-E,5690,0.00570256%
O-N-F,5713,0.00572561%
O-N-G,5661,0.0056735%
O-N-H,5666,0.00567851%
O-N-I,5669,0.00568151%
O-N-J,5740,0.00575267%
O-N-K,5723,0.00573563%
O-N-L,5707,0.0057196%
O-N-M,5617,0.0056294%
O-N-N,5756,0.00576871%
O-N-O,5560,0.00557227%
O-N-P,5742,0.00575467%
O-N-Q,5692,0.00570456%
O-N-R,5674,0.00568652%
O-N-S,5743,0.00575568%
O-N-T,5785,0.00579777%
O-N-U,5887,0.00589999%
O-N-V,5666,0.00567851%
O-N-W,5671,0.00568352%
O-N-X,5729,0.00574165%
O-N-Y,5679,0.00569154%
O-N-Z,5612,0.00562439%
O-O-A,5615,0.00562739%
O-O-B,5707,0.0057196%
O-O-C,5737,0.00574966%
O-O-D,5707,0.0057196%
O-O-E,5686,0.00569855%
O-O-F,5723,0.00573563%
O-O-G,5627,0.00563942%
O-O-H,5641,0.00565345%
O-O-I,5760,0.00577271%
O-O-J,5666,0.00567851%
O-O-K,5689,0.00570156%
O-O-L,5638,0.00565044%
O-O-M,5775,0.00578775%
O-O-N,5671,0.00568352%
O-O-O,5669,0.00568151%
O-O-P,5597,0.00560935%
O-O-Q,5670,0.00568252%
O-O-R,5499,0.00551114%
O-O-S,5707,0.0057196%
O-O-T,5761,0.00577372%
O-O-U,5683,0.00569554%
O-O-V,5740,0.00575267%
O-O-W,5680,0.00569254%
O-O-X,5678,0.00569053%
O-O-Y,5623,0.00563541%
O-O-Z,5673,0.00568552%
O-P-A,5699,0.00571158%
O-P-B,5576,0.00558831%
O-P-C,5504,0.00551615%
O-P-D,5727,0.00573964%
O-P-E,5741,0.00575367%
O-P-F,5662,0.0056745%
O-P-G,5771,0.00578374%
O-P-H,5542,0.00555423%
O-P-I,5668,0.00568051%
O-P-J,5768,0.00578073%
O-P-K,5670,0.00568252%
O-P-L,5721,0.00573363%
O-P-M,5836,0.00584888%
O-P-N,5607,0.00561938%
O-P-O,5557,0.00556927%
O-P-P,5598,0.00561036%
O-P-Q,5742,0.00575467%
O-P-R,5618,0.0056304%
O-P-S,5581,0.00559332%
O-P-T,5723,0.00573563%
O-P-U,5748,0.00576069%
O-P-V,5702,0.00571459%
O-P-W,5593,0.00560535%
O-P-X,5731,0.00574365%
O-P-Y,5711,0.00572361%
O-P-Z,5641,0.00565345%
O-Q-A,5697,0.00570957%
O-Q-B,5664,0.0056765%
O-Q-C,5732,0.00574465%
O-Q-D,5650,0.00566247%
O-Q-E,5727,0.00573964%
O-Q-F,5661,0.0056735%
O-Q-G,5660,0.00567249%
O-Q-H,5649,0.00566147%
O-Q-I,5588,0.00560033%
O-Q-J,5670,0.00568252%
O-Q-K,5638,0.00565044%
O-Q-L,5672,0.00568452%
O-Q-M,5672,0.00568452%
O-Q-N,5737,0.00574966%
O-Q-O,5579,0.00559131%
O-Q-P,5679,0.00569154%
O-Q-Q,5640,0.00565245%
O-Q-R,5638,0.00565044%
O-Q-S,5682,0.00569454%
O-Q-T,5739,0.00575167%
O-Q-U,5725,0.00573764%
O-Q-V,5600,0.00561236%
O-Q-W,5717,0.00572962%
O-Q-X,5796,0.00580879%
O-Q-Y,5681,0.00569354%
O-Q-Z,5660,0.00567249%
O-R-A,5733,0.00574565%
O-R-B,5743,0.00575568%
O-R-C,5593,0.00560535%
O-R-D,5697,0.00570957%
O-R-E,5704,0.00571659%
O-R-F,5594,0.00560635%
O-R-G,5649,0.00566147%
O-R-H,5856,0.00586893%
